code,state,lat,lon,total_contribution,additional_contribution_exp_r,additional_contri_mvl,required_contribution _ exp_r,required_contri_mvl,covered_employee_payroll,actually_contributed,prevent_rise_exp_r,prevent_rise_mvl
AL,Alabama,32.69,-86.81,1995247,209607,1190485,2204854,3185732,20930414,18.823,20.801,30.054
AK,Alaska,64.72,-153.63,658161,183876,403044,842037,1061205,3644566,38.453,49.196,62.001
AZ,Arizona,34.26,-111.63,2391967,295522,1146752,2687489,3538719,21656088,23.451,26.348,34.693
AR,Arkansas,34.76,-92.64,1046304,177351,1061585,1223655,2107889,10286305,19.788,23.142,39.865
CA,California,36.53,-119.59,41267784,7306805,50431235,48574589,91699019,168369766,29.477,34.696,65.499
CO,Colorado,39,-105.55,2736460,1097588,2870642,3834048,5607102,19426224,26.828,37.589,54.972
CN,Connecticut,41.58,-72.76,3427203,464557,428431,3891760,3855634,19071017,34.864,39.59,39.222
DE,Delaware,38.98,-75.46,368121,3355,279492,371476,647613,4238327,16.6,16.752,29.204
FL,Florida,27.98,-81.77,4405173,900198,5323321,5305371,9728494,63132040,11.906,14.339,26.293
GA,Georgia,32.54,-83.38,3438143,173973,2936862,3612116,6375005,27756731,23.549,24.741,43.664
HA,Hawaii,19.65,-155.53,1031948,454500,904649,1486448,1936597,8072524,24.318,35.029,45.637
ID,Idaho,43.76,-114.96,605434,-110165,530720,495269,1136154,5926024,19.159,15.672,35.953
IL,Illinois,40.27,-89.19,13897238,4615451,4574770,18512689,18472008,62219423,41.986,55.93,55.807
IN,Indiana,39.9,-86.25,1950511,-211007,155818,1739504,2106329,19201538,20.383,18.178,22.011
IO,Iowa,42.04,-93.5,1311639,10727,1598195,1322366,2909834,15643211,15.963,16.094,35.414
KA,Kansas,38.5,-98.38,1206099,109022,776901,1315121,1983000,13284399,17.582,19.172,28.908
KY,Kentucky,37.7,-84.92,3052157,805305,1540771,3857462,4592928,16045715,37.277,47.113,56.095
LA,Louisiana,30.54,-92.51,3534488,-326919,131829,3207569,3666317,17580038,38.633,35.06,40.074
ME,Maine,45.24,-69.17,565814,-35913,341713,529901,907527,4559322,23.447,21.959,37.607
MD,Maryland,39.04,-76.35,3466588,216209,2202249,3682797,5668837,26403776,26.262,27.9,42.946
MA,Massachusetts,42.36,-71.53,4170739,1696808,3465326,5867547,7636065,31647542,25.125,35.347,46
MI,Michigan,43.92,-84.63,3942099,-395540,-202552,3546559,3739547,22864501,32.312,29.07,30.652
MN,Minnesota,46.64,-94.58,2412676,1318384,4593816,3731060,7006492,28799936,15.667,24.228,45.497
MS,Mississippi,32.92,-89.69,1606840,452698,1125611,2059538,2732451,11941161,26.454,33.907,44.986
MI,Missouri,38.35,-92.75,2832513,-15950,2304369,2816563,5136882,23597281,22.48,22.354,40.769
MO,Montana,47,-109.65,531805,30395,379253,562200,911058,4371720,23.226,24.553,39.789
NE,Nebraska,41.5,-99.81,533804,153669,811745,687473,1345549,1804153,18.527,23.86,46.7
NV,Nevada,39.44,-116.6,1870719,485411,2078846,2356130,3949565,11990258,29.993,37.776,63.323
NH,New Hampshire,43.64,-71.59,579714,50125,259002,629839,838716,5175511,21.732,23.611,31.441
NJ,New Jersey,39.67,-74.74,5825588,4797663,7241421,10623251,13067009,51301300,22.58,41.175,50.647
NM,New Mexico,34.5,-106.11,1302750,475175,903427,1777925,2206177,11958818,18.292,24.965,30.978
NY,New York,40.68,-73.97,19080997,-2306755,9994485,16774242,29075482,113224912,26.21,23.042,39.939
NC,North Carolina,35.39,-78.46,3270734,-268463,2728712,3002271,5999446,40122825,15.725,14.434,28.843
ND,North Dakota,47.47,-100.47,323960,62291,306744,386251,630704,3228167,18.518,22.078,36.051
OH,Ohio,40.26,-82.88,7813995,1984823,5334423,9798818,13148418,58527419,25.62,32.127,43.11
OK,Oklahoma,35.46,-97.51,1665015,-91618,738141,1573397,2403156,13475768,24.661,23.304,35.593
OE,Oregon,43.85,-120.53,1156000,1133930,2854179,2289930,4010179,19012500,11.333,22.45,39.315
PE,Pennsylvania,40.86,-77.84,8238854,485612,1524686,8724466,9763540,43498390,36.946,39.123,43.783
RI,Rhode Island,41.59,-71.51,576763,19644,174099,596407,750862,4472377,22.078,22.83,28.743
SC,South Carolina,33.7,-80.63,2338296,426377,1942638,2764673,4280934,17804447,25.107,29.685,45.966
SD,South Dakota,44.47,-100.23,264642,44174,426244,308816,690886,3760333,13.15,15.345,34.331
TE,Tennessee,35.82,-86.34,1200679,-210122,1374836,990557,2575515,10360058,23.33,19.247,50.044
TX,Texas,31.03,-98.33,9383839,2009135,11042976,11392974,20426815,102666596,17.124,20.79,37.275
UT,Utah,39.1,-111.88,1152211,-164415,963024,987796,2115235,9677185,23.05,19.761,42.316
VE,Vermont,44.21,-72.68,264199,23910,97589,288109,361788,2563264,19.391,21.146,26.553
VA,Virginia,37.73,-78.38,3732689,277417,2876665,4010106,6609354,41669988,16.229,17.435,28.736
WA,Washington,38.83,-77.02,3435076,-277735,3710250,3157341,7145326,38663939,16.515,15.18,34.353
WV,West Virginia,38.72,-80.65,816094,-154024,86839,662070,902933,6044854,26.762,21.711,29.61
WI,Wisconsin,44.36,-89.47,2180792,-207076,3245195,1973716,5425987,28705788,14.735,13.336,36.662
WY,Wyoming,43,-107.55,344640,90378,432821,435018,777461,3901826,17.316,21.857,39.062
